Rating,Jersey Number,Team,Position,Height,Weight,Salary,Country,Draft Year,Draft Round,Draft Pick,Age
75,44,Portland Trail Blazers,F-G,203,91.2,1737145,Croatia,2015,1,5,26
75,3,Milwaukee Bucks,G,191,81.6,10133907,USA,2008,1,26,35
75,4,Toronto Raptors,F,198,95.7,2500000,USA,2015,1,23,26
75,22,Sacramento Kings,F,208,110.2,4767000,USA,2015,2,37,28
75,0,Minnesota Timberwolves,F,201,111.1,15349400,USA,2009,1,16,34
75,5,Detroit Pistons,G,196,88.9,3827160,USA,2017,1,12,25
75,26,Milwaukee Bucks,F,201,96.2,6004753,USA,2003,2,51,40
75,0,Brooklyn Nets,F,206,97.5,1699236,Latvia,2018,2,40,23
75,10,Minnesota Timberwolves,F,203,94.8,3581986,USA,2016,2,47,27
75,42,Milwaukee Bucks,C,213,115.7,4767000,USA,2008,1,15,33
75,41,San Antonio Spurs,F,206,109.3,5500000,Canada,2015,1,12,26
75,51,Dallas Mavericks,C,224,131.5,3500000,Serbia,2010,2,60,33
75,9,Indiana Pacers,G,185,90.7,3500000,USA,2015,2,60,29
75,8,San Antonio Spurs,G,185,83.9,12678571,Australia,2009,2,55,33
75,1,Charlotte Hornets,G,191,89.4,4028400,USA,2017,1,11,23
75,88,Los Angeles Lakers,F,203,111.1,3709887,USA,2011,1,13,32
75,0,Washington Wizards,G,183,79.4,1845301,USA,2014,1,24,30
75,16,Cleveland Cavaliers,F-G,201,97.5,2907143,Turkey,2015,2,31,26
75,31,Chicago Bulls,G,201,89.8,10000000,Czech,2012,2,32,30
75,1,Philadelphia 76ers,F,201,107.5,4767000,USA,2012,2,43,33
75,0,Denver Nuggets,F,208,112,2000000,USA,2014,1,9,26
75,0,,G-F,193,90.7,3551100,USA,2018,2,60,25
74,41,Minnesota Timberwolves,F,206,99.8,3321029,Spain,2016,1,15,26
74,1,Memphis Grizzlies,F,206,104.3,9073050,USA,2014,1,30,28
74,0,Cleveland Cavaliers,F-C,203,101.6,1870564,USA,2017,2,38,26
74,24,Orlando Magic,C,206,94.8,3000000,Canada,2014,2,60,29
74,24,Memphis Grizzlies,G-F,201,102.1,1618520,Canada,2017,2,45,25
74,25,New York Knicks,G,198,90.7,4000000,USA,2013,1,25,30
74,33,Portland Trail Blazers,C,211,105.2,4240200,USA,2017,1,10,24
74,24,Milwaukee Bucks,G,196,97.5,1723050,USA,2015,2,41,28
74,2,Los Angeles Lakers,G,185,81.6,3000000,USA,2015,2,60,28
74,3,Denver Nuggets,G,201,97.5,2000000,USA,2014,2,60,31
74,30,Dallas Mavericks,G,188,81.6,7461380,USA,2013,2,60,31
74,14,Phoenix Suns,F-C,203,99.3,1678854,Mali,2016,2,33,25
